tweet_id,airline_sentiment,text
569935232033366e3,negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
569934395865493500,neutral,@VirginAmerica what happened to Doom?!
569933816963342340,negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
569933777931145200,positive,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
569933405506310140,negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
569933360564342800,negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
569929243146088450,negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
569926998824394750,negative,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
5.6992339499041997e+017,neutral,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code
569922008588222460,neutral,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
569920824905306100,neutral,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?
569919041244147700,negative,@VirginAmerica Why is the site down?  When will it be back up?
569915941192015900,neutral,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
569913339427434500,neutral,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
569911816937033700,negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
569911674158731260,negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
569911218942517250,neutral,@VirginAmerica why is flight 345 redirected?
569910981868060700,negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
569909224521642e3,negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
569907336485019650,negative,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
569896805611089900,negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
569894449620369400,negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
5.6989440700193997e+017,neutral,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM
569892199690678300,negative,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
569891469210755100,neutral,@VirginAmerica check out new music http://t.co/maRcnOCWzn
569891436100874240,negative,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky
5.6988731071347917e+017,negative,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
569887049446076400,positive,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
569884551712886800,negative,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
569884407852437500,negative,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
569881548515708900,neutral,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?
569873669700358140,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
569873668131717100,neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
569873665640292350,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
569873664612704260,neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
569872058613674e3,positive,@VirginAmerica Have a great week 🌞✈
569861209781989400,positive,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
569847920192655360,negative,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
569814339785338900,positive,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
5.6977760737112883e+017,positive,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
569774078233419800,positive,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
569770363623575550,positive,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
569748316776325100,negative,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
569741221783957500,negative,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
569737603617943550,negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
569714127792255e3,positive,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
569675144353828860,positive,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
569674358135914500,neutral,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
569666477265018900,negative,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
569652497947734e3,positive,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
569649116487290900,neutral,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
569643262459269100,neutral,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?
569642845516275700,negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
569634318349246460,negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
569633630978310140,neutral,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?
569633279546036200,negative,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
569630092273410050,negative,@VirginAmerica Another delayed flight? #likingyoulessandless
569627480425766900,negative,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
569625739231948800,positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
569625609799774200,neutral,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
569620102389350400,positive,@VirginAmerica always!!! Xoxo
569619569372823550,negative,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
5.6961852794811597e+017,negative,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
569616490380439550,positive,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
569615109363929100,neutral,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
569614365755899900,negative,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
569614024578600960,positive,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
569609971383586800,negative,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
569608328998887400,negative,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
569599867716132860,positive,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
569596445680115700,positive,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
569596097540132860,negative,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
569594386066984960,negative,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
569586660909973500,neutral,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
569580805036453900,positive,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
569575679722786800,neutral,@VirginAmerica is your website ever coming back online?
569575003248676860,neutral,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
569574973662232600,neutral,@VirginAmerica Is flight 0769 out of LGA to DFW on time?
569574961158815740,neutral,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
569572942381649900,negative,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
569572740723712e3,negative,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
569566981835218940,negative,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
569564853460807700,negative,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
569564610837086200,negative,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
569562202405019650,negative,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
569541127340040200,negative,@VirginAmerica is the website down?
569540405676654600,negative,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
569494748341407740,negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
569482263345307650,neutral,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
5.6947769216631603e+017,negative,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
569461469042966500,negative,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
569459618881019900,neutral,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
569452063920226300,neutral,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
569447071910105100,neutral,@VirginAmerica Lister to my show my on Monday 1230 130
569429411646156800,neutral,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
569369239183872e3,negative,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
5.6936816029146317e+017,negative,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
5.6935638778590003e+017,neutral,@VirginAmerica I'd love to know what your policy is for damaged luggage.
569354267854704640,positive,@VirginAmerica Thank you for the follow
569351220097216500,negative,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
569348775631675400,negative,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
569324558999691260,neutral,@VirginAmerica @TTINAC11 I DM you
569323106210152450,neutral,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭
569323082701275140,negative,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
569318651502989300,negative,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
569318130356502500,positive,😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
569316358845911040,positive,@VirginAmerica Only way to fly! #Elevate #Gold
569311498301870100,neutral,@VirginAmerica If only you guys had flights from CMH.
569311060903268350,negative,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
569310635986546700,negative,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
569305113589714940,neutral,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
569304436612444160,positive,@VirginAmerica you will match my #AmericanAirlines status? Cool!
5.6930420853459763e+017,neutral,“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉
569304030847090700,negative,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
569303931916038140,negative,@VirginAmerica you suck!
569298165855338500,positive,@VirginAmerica thanks!
569290361870426100,negative,@VirginAmerica Just DM'd. Same issue persisting.
569282249717194750,negative,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
569277854950817800,negative,@VirginAmerica trying to book a flight &amp; your site is down 😁
569277352129138700,negative,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
569263837448269800,negative,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
569262527281913860,positive,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
569262225900359700,negative,@VirginAmerica Your website is down and I'm trying to check in!
569261347688607740,positive,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
569261128532041700,neutral,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
5.6926052697654477e+017,positive,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
569253311813185540,positive,@VirginAmerica Keep up the great work :)
5.6925323609326797e+017,positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
569250469178175500,positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
569248437050302460,neutral,@VirginAmerica can you please get me to the new york area before monday afternoon
569248400836726800,positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
5.6924776916626637e+017,negative,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
569247394002563100,negative,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
569244860286263300,negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
569240250192670700,positive,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
569238877178716160,negative,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
569237252154372100,negative,@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
569236471690829800,neutral,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
569236251129163800,negative,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
569230983075115e3,negative,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
569229785500680200,negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
569226875349835800,negative,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
569224234150404100,negative,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
569223788639821800,negative,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
569222494952886300,positive,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
569221440794271740,positive,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
569221156504530940,negative,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
569220232293720060,neutral,"@VirginAmerica it’s just a bug report, guys"
569218762907324400,negative,@VirginAmerica hold times at call center are a bit much
569212570478911500,positive,@VirginAmerica Like http://t.co/VPqEm31XUQ
5.6921167510817997e+017,negative,@VirginAmerica Site down? #help
569209566715469800,positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
5.6920848079356723e+017,positive,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
569205125278859260,positive,@VirginAmerica thanks so much!
569204272795004900,negative,"@VirginAmerica Trying to reset my password, email never arrives. Help?"
569202691185909760,positive,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
569201943131738100,positive,@VirginAmerica Very nicely done. 👏
569200619430420500,positive,@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
569200606595952640,negative,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
569198782421663740,negative,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
569198104806699e3,positive,@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
569197967959154700,positive,@VirginAmerica sounds like fun !
569197611393163260,neutral,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax
569197515993534460,neutral,@virginamerica spruce moose!
5.6919277846862643e+017,negative,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
569182336715243500,negative,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
569180623165915140,positive,"@VirginAmerica classiq, luv Virgin America. Greetingz"
569179517522047e3,negative,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
569176777056079900,positive,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
569165709516759040,positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
569110766235877400,positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
569083230361673700,negative,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
569028851860254700,negative,@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
569022319437357060,negative,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
569020707113476100,positive,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
569018352464588800,neutral,"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
569011849976348700,positive,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
568989005162766340,neutral,"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
568977439398821900,neutral,@VirginAmerica any plans to start flying direct from DAL to LAS?
5.6897717514929357e+017,neutral,@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn
